HostID,VerificationMediumID
601236,HV_015
601236,HV_006
601236,HV_001
601266,HV_016
601266,HV_007
601266,HV_015
601266,HV_006
601266,HV_001
601600,HV_016
601600,HV_008
601600,HV_015
601600,HV_006
601600,HV_001
621691,HV_016
621691,HV_008
621691,HV_015
621691,HV_006
621691,HV_001
627014,HV_015
627014,HV_006
627014,HV_001
632896,HV_016
632896,HV_017
632896,HV_008
632896,HV_015
632896,HV_006
632896,HV_001
640731,HV_016
640731,HV_008
640731,HV_015
640731,HV_006
640731,HV_001
658155,HV_008
658155,HV_015
658155,HV_006
658155,HV_001
661691,HV_016
661691,HV_007
661691,HV_015
661691,HV_006
661691,HV_001
668141,HV_016
668141,HV_008
668141,HV_009
668141,HV_015
668141,HV_006
668141,HV_001
673805,HV_015
673805,HV_006
673805,HV_001
680066,HV_015
680066,HV_006
680066,HV_001
681242,HV_007
681242,HV_009
681242,HV_015
681242,HV_006
681242,HV_001
683617,HV_016
683617,HV_008
683617,HV_015
683617,HV_006
683617,HV_001
685350,HV_015
685350,HV_001
696788,HV_015
696788,HV_006
696788,HV_001
721070,HV_016
721070,HV_008
721070,HV_009
721070,HV_015
721070,HV_006
721070,HV_001
724729,HV_017
724729,HV_008
724729,HV_015
724729,HV_006
724729,HV_001
737618,HV_016
737618,HV_008
737618,HV_015
737618,HV_006
737618,HV_001
748695,HV_015
748695,HV_006
748695,HV_001
750650,HV_016
750650,HV_007
750650,HV_009
750650,HV_015
750650,HV_006
750650,HV_001
753818,HV_016
753818,HV_015
753818,HV_006
753818,HV_001
754810,HV_016
754810,HV_017
754810,HV_008
754810,HV_009
754810,HV_015
754810,HV_006
754810,HV_001
755725,HV_016
755725,HV_015
755725,HV_006
755725,HV_001
756099,HV_016
756099,HV_007
756099,HV_015
756099,HV_001
759949,HV_016
759949,HV_008
759949,HV_015
759949,HV_006
759949,HV_001
765012,HV_016
765012,HV_008
765012,HV_015
765012,HV_006
765012,HV_001
767899,HV_016
767899,HV_008
767899,HV_015
767899,HV_006
767899,HV_001
769622,HV_008
769622,HV_010
769622,HV_015
769622,HV_006
769622,HV_001
780837,HV_016
780837,HV_008
780837,HV_009
780837,HV_015
780837,HV_006
780837,HV_001
781716,HV_016
781716,HV_008
781716,HV_015
781716,HV_006
781716,HV_001
791459,HV_016
791459,HV_008
791459,HV_015
791459,HV_006
791459,HV_001
798892,HV_016
798892,HV_007
798892,HV_015
798892,HV_006
798892,HV_001
804996,HV_016
804996,HV_008
804996,HV_015
804996,HV_006
804996,HV_001
807116,HV_016
807116,HV_008
807116,HV_015
807116,HV_006
807116,HV_001
811494,HV_011
811494,HV_016
811494,HV_017
811494,HV_008
811494,HV_009
811494,HV_015
811494,HV_006
811494,HV_001
828164,HV_007
828164,HV_015
828164,HV_006
828164,HV_001
830508,HV_015
830508,HV_006
830508,HV_001
832888,HV_016
832888,HV_008
832888,HV_015
832888,HV_006
832888,HV_001
834328,HV_016
834328,HV_008
834328,HV_015
834328,HV_006
834328,HV_001
841009,HV_016
841009,HV_017
841009,HV_008
841009,HV_015
841009,HV_006
841009,HV_001
844971,HV_016
844971,HV_008
844971,HV_009
844971,HV_015
844971,HV_006
844971,HV_001
862329,HV_016
862329,HV_008
862329,HV_015
862329,HV_006
862329,HV_001
864962,HV_016
864962,HV_007
864962,HV_010
864962,HV_015
864962,HV_006
864962,HV_001
867039,HV_016
867039,HV_008
867039,HV_015
867039,HV_006
867039,HV_001
880937,HV_016
880937,HV_015
880937,HV_006
880937,HV_001
881457,HV_008
881457,HV_015
881457,HV_006
881457,HV_001
884680,HV_016
884680,HV_008
884680,HV_015
884680,HV_006
884680,HV_001
895223,HV_016
895223,HV_008
895223,HV_009
895223,HV_015
895223,HV_006
895223,HV_001
900531,HV_016
900531,HV_017
900531,HV_007
900531,HV_009
900531,HV_015
900531,HV_006
900531,HV_001
919364,HV_016
919364,HV_008
919364,HV_015
919364,HV_006
919364,HV_001
919431,HV_016
919431,HV_008
919431,HV_015
919431,HV_006
919431,HV_001
923095,HV_016
