ListingID,AmenityID
3386862,AM_023
3394338,AM_023
3394837,AM_023
3394936,AM_023
3396140,AM_023
3401644,AM_023
3402376,AM_023
3403638,AM_023
3403858,AM_023
3404557,AM_023
3404700,AM_023
3404914,AM_023
3412630,AM_023
3413183,AM_023
3416217,AM_023
3418230,AM_023
3418349,AM_023
3422894,AM_023
3424114,AM_023
3424242,AM_023
3424991,AM_023
3426639,AM_023
3434459,AM_023
3441402,AM_023
3449059,AM_023
3456599,AM_023
3468261,AM_023
3479241,AM_023
3479851,AM_023
3487824,AM_023
3488436,AM_023
3489083,AM_023
3489837,AM_023
3490239,AM_023
3494608,AM_023
3497530,AM_023
3498114,AM_023
3504521,AM_023
3505739,AM_023
3510818,AM_023
3518808,AM_023
3522409,AM_023
3528627,AM_023
3529563,AM_023
3531616,AM_023
3533112,AM_023
3533224,AM_023
3535171,AM_023
3543084,AM_023
3543791,AM_023
3544953,AM_023
3544964,AM_023
3551668,AM_023
3552523,AM_023
3554558,AM_023
3561108,AM_023
3561237,AM_023
3562617,AM_023
3570691,AM_023
3582883,AM_023
3584790,AM_023
3585592,AM_023
3592838,AM_023
3594885,AM_023
3594959,AM_023
3604904,AM_023
3604931,AM_023
3610724,AM_023
3613516,AM_023
3615614,AM_023
3624990,AM_023
3626162,AM_023
3626497,AM_023
3630581,AM_023
3637180,AM_023
3639023,AM_023
3642289,AM_023
3646393,AM_023
3652434,AM_023
3652612,AM_023
3653575,AM_023
3656508,AM_023
3657819,AM_023
3673011,AM_023
3673759,AM_023
3676779,AM_023
3677729,AM_023
3679617,AM_023
3686556,AM_023
3689416,AM_023
3691288,AM_023
3697351,AM_023
3706719,AM_023
3720429,AM_023
3720511,AM_023
3726391,AM_023
3727017,AM_023
3728802,AM_023
3732076,AM_023
3732094,AM_023
3732103,AM_023
3732949,AM_023
3738724,AM_023
3739681,AM_023
3751503,AM_023
3757858,AM_023
3759039,AM_023
3766285,AM_023
3766866,AM_023
3768626,AM_023
3768742,AM_023
3768745,AM_023
3770248,AM_023
3772674,AM_023
3773417,AM_023
3773568,AM_023
3773784,AM_023
3774113,AM_023
3783162,AM_023
3791920,AM_023
3793047,AM_023
3793185,AM_023
3803947,AM_023
3811955,AM_023
3812725,AM_023
3817141,AM_023
3818746,AM_023
3819831,AM_023
3821663,AM_023
3821822,AM_023
